Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2025-11-03 15:10:28.765 +0530,"Failure",0:00:08,1,0,0,"20251103_151028.765/LogFile.txt","","InvalidCommandOrRange -- Not a valid command, or else incorrect types given for a range (must be numbers, date/times, or single characters -- got """" TO "" "")",0
2025-11-03 15:13:01.811 +0530,"Failure",0:00:08,1,0,0,"20251103_151301.811/LogFile.txt","","InvalidCommandOrRange -- Not a valid command, or else incorrect types given for a range (must be numbers, date/times, or single characters -- got """" TO "" "")",0
2025-11-03 15:14:01.298 +0530,"Success",0:00:13,0,0,0,"20251103_151401.298/LogFile.txt","","",1
2025-11-03 15:14:52.697 +0530,"Success",0:00:15,0,0,0,"20251103_151452.697/LogFile.txt","","",1
2025-11-03 15:18:23.131 +0530,"Success",0:00:18,0,0,0,"20251103_151823.131/LogFile.txt","","",1
2025-11-03 15:20:20.787 +0530,"Success",0:00:17,0,0,0,"20251103_152020.787/LogFile.txt","","",1
2025-11-03 17:35:04.330 +0530,"Success",0:00:17,0,0,0,"20251103_173504.330/LogFile.txt","","",1
2025-11-04 20:49:57.727 +0530,"Aborted",0:00:08,1,0,0,"20251104_204957.727/LogFile.txt","","",0
2025-11-04 20:51:30.402 +0530,"Success",0:00:19,0,0,0,"20251104_205130.402/LogFile.txt","","",1
2025-11-05 09:57:42.565 +0530,"Success",0:00:19,0,0,0,"20251105_095742.565/LogFile.txt","","",1
2025-11-05 09:58:55.727 +0530,"Aborted",0:00:19,1,0,0,"20251105_095855.727/LogFile.txt","","",0
2025-11-05 10:00:00.971 +0530,"Aborted",0:00:10,1,0,0,"20251105_100000.971/LogFile.txt","","",0
2025-11-05 10:00:33.392 +0530,"Aborted",0:00:04,1,0,0,"20251105_100033.392/LogFile.txt","","",0
2025-11-05 10:00:56.573 +0530,"Success",0:00:23,0,0,0,"20251105_100056.573/LogFile.txt","","",1
2025-11-05 10:01:50.662 +0530,"Aborted",0:00:05,1,0,0,"20251105_100150.662/LogFile.txt","","",0
2025-11-05 10:02:55.820 +0530,"Aborted",0:00:08,1,0,0,"20251105_100255.820/LogFile.txt","","",0
2025-11-05 10:04:41.781 +0530,"Aborted",0:00:07,1,0,0,"20251105_100441.781/LogFile.txt","","",0
2025-11-05 10:12:41.180 +0530,"Success",0:00:42,0,0,0,"20251105_101241.180/LogFile.txt","","",1
2025-11-06 10:12:42.416 +0530,"Success",0:00:40,0,0,0,"20251106_101242.416/LogFile.txt","","",1
2025-11-06 10:31:21.770 +0530,"Success",0:00:42,0,0,0,"20251106_103121.770/LogFile.txt","","",1
2025-11-06 12:47:45.424 +0530,"Success",0:00:49,0,0,0,"20251106_124745.424/LogFile.txt","","",1
