Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2025-10-23 14:33:17.028 +0530,"Failure",0:00:00,1,0,0,"20251023_143317.028/LogFile.txt","","STUnknownMessage -- ERROR: No Such Function: 'screenpart'",0
2025-10-23 14:38:47.150 +0530,"Failure",0:00:14,1,0,0,"20251023_143847.150/LogFile.txt","","STUnknownMessage -- ERROR: No Such Function: 'determineimageortext'",0
2025-10-23 15:53:22.727 +0530,"Failure",0:00:08,1,0,0,"20251023_155322.727/LogFile.txt","","STInvalidParameters -- Command wait was called with invalid parameters",0
2025-10-23 15:55:07.196 +0530,"Failure",0:00:16,1,0,0,"20251023_155507.196/LogFile.txt","","STUnknownMessage -- ERROR: No Such Function: 'determineimageortext'",0
2025-10-23 16:15:29.038 +0530,"Success",0:00:28,0,0,0,"20251023_161529.038/LogFile.txt","","",1
2025-10-28 10:09:28.033 +0530,"Success",0:03:43,0,1,1,"20251028_100928.033/LogFile.txt","","",1
2025-10-28 16:07:16.061 +0530,"Success",0:00:52,0,0,0,"20251028_160716.061/LogFile.txt","","",1
2025-10-28 18:02:06.425 +0530,"Aborted",0:03:02,1,1,1,"20251028_180206.425/LogFile.txt","","",0
2025-10-29 11:05:41.532 +0530,"Failure",0:03:44,1,1,0,"20251029_110541.532/LogFile.txt","","SenseTalk Runtime Exception -- Invalid operands for addition: expected numbers, dates and/or lists; got '' and '[163,410]'",0
2025-10-30 10:16:20.947 +0530,"Failure",0:00:23,1,0,0,"20251030_101620.947/LogFile.txt","","STUnknownMessage -- ERROR: No Such Command: 'validate'",0
2025-10-30 10:18:14.734 +0530,"Failure",0:00:21,1,0,0,"20251030_101814.734/LogFile.txt","","STUnknownMessage -- ERROR: No Such Function: 'determineimageortext'",0
2025-10-30 10:25:08.936 +0530,"Failure",0:00:38,1,0,0,"20251030_102508.936/LogFile.txt","","STUnknownMessage -- ERROR: No Such Command: 'clearcache'",1
2025-10-30 10:26:25.675 +0530,"Aborted",0:02:44,1,0,0,"20251030_102625.675/LogFile.txt","","",2
2025-10-30 10:34:59.565 +0530,"Failure",0:02:22,1,2,1,"20251030_103459.565/LogFile.txt","","Image Not Found -- WaitFor Error - Unable To Find Any Image On Screen ""(TEXT:""Login"")"" within 30.00 seconds. Text not found.  Restricted Search Rectangle ((0,540),(1920,1080))\n",5
2025-10-30 10:37:46.047 +0530,"Aborted",0:03:35,1,2,0,"20251030_103746.047/LogFile.txt","","",8
2025-10-30 10:54:03.868 +0530,"Success",0:03:33,0,1,0,"20251030_105403.868/LogFile.txt","","",10
2025-10-31 12:05:38.975 +0530,"Success",0:04:23,0,1,0,"20251031_120538.975/LogFile.txt","","",11
